y_train;y_train_pred;y_train_pred_proba
1;1;0.33497536614290846
0;0;0.6465292280999873
0;0;0.8393152586330799
0;0;0.6950398360298466
0;0;0.6488436040730869
0;0;0.9071916181764279
1;1;0.32880462127562393
1;1;0.1657790066833963
0;0;0.8560154556248054
1;1;0.4451427858185112
1;1;0.10140514916893473
0;0;0.9045944418023414
0;0;0.6627236236824017
1;1;0.4713239479293345
0;0;0.9826044651178901
1;1;0.30190660758049803
0;0;0.7439267950590925
0;0;0.6788163112805123
1;1;0.2801838239815321
0;0;0.9174997053072401
0;0;0.6476872827630203
1;1;0.15946840070910495
1;1;0.10071409957508382
1;1;0.11067845091687156
0;1;0.026464578620605583
1;1;0.2468642444138781
1;1;0.48698842505908313
1;0;0.8230354847930019
1;1;0.10392806877696337
1;1;0.0269922510745072
0;0;0.8685632660503413
0;0;0.8042777543308601
0;0;0.9086752507759234
1;1;0.11218479989613928
1;1;0.3206035656101959
1;1;0.2628815330201504
0;0;0.634579910711569
0;1;0.06837569872935989
0;0;0.9080420383053971
1;0;0.6162758592238942
1;1;0.3222627121457633
0;1;0.4244706875396692
0;1;0.32170916267001204
1;1;0.26190004401330136
1;1;0.4378384591845782
1;1;0.32615147259862176
1;1;0.4038330229827224
0;0;0.91568504891398
0;0;0.8030775568929881
0;0;0.9578592558553403
1;1;0.05657878818326556
0;1;0.1420248069480694
0;0;0.7429595380708469
1;1;0.4381505350109751
0;0;0.9555757885564483
1;1;0.3369552203636872
1;1;0.47986856082595886
0;1;0.02679318572552658
0;0;0.7526434892807057
1;1;0.263619200896836
1;1;0.3357491171287741
1;1;0.3459639801018256
1;1;0.10440128420566008
0;0;0.8802555550897516
0;0;0.8217392081876281
1;0;0.7053983521396778
0;0;0.5398493957129867
1;1;0.28274784596351354
1;0;0.6141750395880055
1;1;0.20374125524213071
0;0;0.9675545799066527
0;0;0.720803169722992
1;1;0.2794173924308273
1;1;0.4010890351110099
1;1;0.3343368574911596
0;0;0.7838599177359223
1;1;0.2510254968695913
1;1;0.2616550415012504
0;1;0.042149460574951725
0;0;0.8156682311312905
1;1;0.43503201870721
1;1;0.4706921790142846
0;0;0.5686876393373774
0;1;0.2361314049486053
1;1;0.1399635642856879
0;0;0.9495308150592128
0;0;0.6038506371006889
0;0;0.9081478470461983
0;0;0.5208869879031939
1;1;0.4570518200178598
0;0;0.9735662132989384
1;1;0.298911617725761
0;0;0.9230171220248883
0;0;0.693155530648225
1;0;0.5910445781146375
0;0;0.9172113531143327
1;1;0.34424478938102576
1;1;0.08064629097534004
0;1;0.014784523875930988
0;0;0.9584185963546671
0;0;0.8030372786908765
0;0;0.7957842733265883
0;1;0.2602559628252713
1;1;0.1599788624416013
1;1;0.3031798362391227
1;1;0.4457691424423944
1;0;0.6087021640861923
1;1;0.1579449330982693
0;0;0.9754830879023139
1;1;0.13950522060621984
0;0;0.7167027088673918
1;1;0.30217387504480986
1;0;0.8597106625315064
0;0;0.595138135476289
1;1;0.1787551137273704
1;1;0.3000394995666368
1;1;0.14072720789016124
0;1;0.49688147992735265
0;0;0.7931484485303002
0;0;0.5671321239812901
0;1;0.3200515202160601
0;0;0.6485546868473746
1;1;0.4448296727189748
1;0;0.5892046656412345
0;0;0.7524073856601787
1;0;0.5360183716448735
0;0;0.9782507181478948
1;1;0.40230783086305666
1;1;0.30163947432709237
0;1;0.2627041763184368
1;1;0.40413828555722553
1;0;0.866962997976092
0;0;0.5231013421123101
0;0;0.6479765260212782
1;1;0.4557936502978924
1;1;0.1393542384266474
1;1;0.07943273384995297
0;0;0.7500204665117525
1;1;0.06805336704136655
1;1;0.20189642535099017
0;0;0.5478781693238036
1;1;0.13920111628531717
0;0;0.7823525635697967
1;1;0.10059933201939875
1;1;0.43627882259968354
0;1;0.4943460794700345
0;0;0.8309980263239711
0;0;0.6939638848686296
1;1;0.057327801881355
0;0;0.6395630606098589
1;1;0.15991895607049256
0;0;0.9124006374723138
0;0;0.7451325048925779
0;0;0.7192697632110162
1;1;0.3383729179943281
1;1;0.4828718397017894
0;0;0.6468189036660625
0;0;0.8203178004317406
1;0;0.5929980180865226
1;1;0.1390504100443276
0;0;0.7419898946386575
0;0;0.791060713281187
0;0;0.7190136968048291
0;0;0.6497097009549648
1;1;0.3448174025897409
1;1;0.33518385893026814
0;0;0.6813009887014709
0;0;0.53644415870092
1;1;0.34338671767932816
0;0;0.7857868131449524
1;1;0.4854048835346212
0;0;0.6845951685798064
0;0;0.7845036077893345
0;0;0.9494578584644009
0;0;0.5237338517996981
1;1;0.1111785892660957
0;0;0.7847178619152648
0;0;0.7925237515505212
1;0;0.5179292744984719
0;0;0.9735868955329806
1;1;0.20169221646064472
1;1;0.41596198120171834
0;1;0.2605001175026844
0;0;0.8571058249241015
1;0;0.5882837693882873
1;1;0.44232636500199085
0;0;0.8572610290488062
0;0;0.5227850593534356
1;1;0.05050298172232226
1;1;0.4007845265822082
0;0;0.9056829976840438
1;1;0.24710003242593204
1;1;0.15845143749273805
0;0;0.6392707528264642
1;1;0.1396574814027931
1;0;0.7047822989789396
0;0;0.5383665850940844
0;0;0.8346392126910607
1;0;0.617773796964015
0;0;0.8358604205326835
0;1;0.026859381701213048
0;0;0.9090952108848789
0;0;0.9293173933926938
1;1;0.2804395863069197
1;1;0.2638653852969802
1;1;0.15760799480607035
0;1;0.06910612339946287
1;1;0.2515025204093655
1;1;0.32475984587185747
0;0;0.5954435735240723
0;0;0.904703801107927
0;0;0.6630482635961187
1;1;0.16351222638816698
0;0;0.6619453202829853
0;1;0.367732135162796
0;1;0.42695030767497955
1;1;0.1012896828321942
0;0;0.856171645317074
0;0;0.5360679334103705
1;0;0.659599403758941
0;0;0.7903324728700964
1;1;0.10048468063236937
1;1;0.4372144553243986
1;1;0.4697447023137553
0;0;0.9169220843406912
0;0;0.9779246635941887
1;1;0.460199607928096
1;0;0.8678379061797035
1;1;0.08877127013126584
0;0;0.9553600144312671
1;1;0.3358231691040301
1;1;0.196516653032356
0;0;0.9585195287422396
0;1;0.4239941273678913
0;0;0.8164294841930884
0;1;0.02672714841167345
0;0;0.5373289034718147
0;1;0.027025568143154266
0;0;0.9168254573383611
1;0;0.7262025251536854
1;0;0.6462394448880193
0;1;0.4235418022931773
1;1;0.33377278221735884
0;0;0.9495308150598446
0;0;0.5674433339555934
0;0;0.7864263282215621
0;0;0.8160491626864522
1;1;0.10428280219772723
1;1;0.1616295335170762
0;0;0.5677544907145995
0;0;0.7521711308839825
1;1;0.3360319229401515
0;0;0.6955770147131963
0;0;0.9308714446052127
1;1;0.4400240094369414
0;0;0.6610212442776451
0;0;0.6928858149520949
0;0;0.8337624682446543
1;1;0.4691131718910694
0;0;0.9749048962715183
1;1;0.03149820165373263
1;1;0.4365906501142106
1;1;0.07952548889223265
0;0;0.8213674804498982
0;0;0.8418634705259697
0;1;0.06813381766585636
1;1;0.10934138036419327
0;1;0.4247804348935411
1;1;0.3318022696597258
0;0;0.536698477109379
1;0;0.7949589075811931
0;0;0.6746561117856622
1;1;0.07937265078705646
0;0;0.8028769848146905
0;1;0.027092322266429214
